Geneid	TPM
ENSMUSG00000044457	0
ENSMUSG00000041144	0
ENSMUSG00000070199	0
ENSMUSG00000078595	0
ENSMUSG00000025986	0.92176419092157
ENSMUSG00000081185	0
ENSMUSG00000080510	0
ENSMUSG00000088017	0
ENSMUSG00000064943	0
ENSMUSG00000092790	0
ENSMUSG00000051616	0
ENSMUSG00000084531	0
ENSMUSG00000026109	0
ENSMUSG00000092906	0
ENSMUSG00000045954	0.16538454376628
ENSMUSG00000026107	2.74599455398926
ENSMUSG00000018417	0
ENSMUSG00000072324	0.515813313584783
ENSMUSG00000062939	0.903083194922118
ENSMUSG00000078291	0.146147105515688
ENSMUSG00000026104	41.6128874943111
ENSMUSG00000026103	22.5547002195497
ENSMUSG00000065192	0
ENSMUSG00000002881	19.2205457093785
ENSMUSG00000043015	4.62356297449633
ENSMUSG00000041439	0.0741027577262646
ENSMUSG00000026102	0
ENSMUSG00000041426	3.77355922897886
ENSMUSG00000089802	0
ENSMUSG00000043629	0
ENSMUSG00000026100	0
ENSMUSG00000089334	0
ENSMUSG00000060715	0.100694656431862
ENSMUSG00000026098	3.31040076462212
ENSMUSG00000026097	14.2460388890877
ENSMUSG00000026096	8.99735504059102
ENSMUSG00000026095	38.9160287436846
ENSMUSG00000092657	0
ENSMUSG00000067440	0.103162662716957
ENSMUSG00000026094	374.03930665363
ENSMUSG00000042807	0
ENSMUSG00000087949	0
ENSMUSG00000064498	0
ENSMUSG00000025983	0
ENSMUSG00000041303	4.60122640886132
ENSMUSG00000073678	0.212792549992509
ENSMUSG00000070889	0.219907870368434
ENSMUSG00000052331	1.38625036216625
ENSMUSG00000089245	0
ENSMUSG00000025982	286.924154596149
ENSMUSG00000025981	99.0776118741276
ENSMUSG00000025980	56.8984646315644
ENSMUSG00000073676	34.4375724996968
ENSMUSG00000089670	0.382253579714091
ENSMUSG00000025979	19.4602342354895
ENSMUSG00000061863	2.01068629244514
ENSMUSG00000025978	0.107537982597134
ENSMUSG00000073675	0
ENSMUSG00000046994	5.54243374199954
ENSMUSG00000025977	0
ENSMUSG00000089944	0.244238102834729
ENSMUSG00000038349	0.0347662717966836
ENSMUSG00000073674	0
ENSMUSG00000045336	0
ENSMUSG00000038331	0.00978997512525623
ENSMUSG00000087022	0
ENSMUSG00000093027	0
ENSMUSG00000084958	2.47898032656035
ENSMUSG00000038323	6.88446152365392
ENSMUSG00000048495	3.42614322211928
ENSMUSG00000025971	6.08170124512065
ENSMUSG00000077776	0
ENSMUSG00000088353	0
ENSMUSG00000038305	0.0156683334365994
ENSMUSG00000089176	0
ENSMUSG00000091283	0
ENSMUSG00000054770	0.652550330564509
ENSMUSG00000026039	21.6928584008855
